"Selective Permeability","Allows some substances to cross it more easily than others."
"Amphipathic","Hydrophobic and hydrophillic regions."
"Fluid Mosaic Model","The membrane is a fluid structure with various proteins embedded."
"Cholesterol","Membrane stabilization"
"Peripheral Proteins","Surface of membranes."
"Integral Proteins","Embedded proteins."
"Membrane Carbohydrates","Cell to cell recognition."
"Membrane Fluidity","Caused by phospholipids."
"Diffusion","Tendency of any molecule to spread out. Always goes with gradient."
"Concentration Gradient","The region along which the density of a chemical substance decreases."
"Passive Transport","Diffusion of a substance across a membrane. No energy."
"Osmosis","The diffusion of water."
"Hypertonic","High concentration of solutes"
"Hypotonic","Lower concentration of solutes."
"Isotonic","Equal concentrations of solutes."
"Osmoreagulation","Control of water balance."
"Turgid","Very firm"
"Flaccid","Limp, weak."
"Plasmolysis","Plasma membrane pulls away from the cell wall."
"Facilitated Diffusion","Passage of molecules and ions with transport proteins across a membrane down the gradient."
"Active Transport","Movement of a substance against its concentration gradient using energy."
"Exocytosis","Secretion of macromolecules by the fusion of vesicles with the plasma membrane."
"Endocytosis","Import of macromolecules by forming new vesicles with the plasma membrane."
"Pinocytosis","Cellular drinking."
"Receptor-mediated Endocytosis","Movement of specific molecules into a cell by the budding of membranes vesicles containing proteins."
"Ligand","Any molecule that binds to a specific receptor site."
"Primary Producers","An autotroph at the first trophic level of an ecosystem."
"Detritovores","Any animal that feeds on decomposing particles of organic matter."
"Decomposers","One of the prokaryotic or fugal heterotrophs that obtains carbon and energy by breaking down wastes or remains of organisms. The collective action of decomposers helps cycle nutrients to producers in ecosystems."
"Ecosystem","Array of organisms, together with their environment, interacting by a flow of energy and cycling of materials.  In nearly all ecosystems, both types of food webs interconnect (detrital & grazing food webs.)"
"Trophic Levels","All organisms the same of transfer steps away from the energy input into an ecosystem."
"Food chain","Linear sequence of steps by which energy stored in autotroph tissues enters higher trophic levels."
"Food webs","Cross-connecting food chains consisting of producers, consumers, and decomposers, detritivores, or both."
"Grazing food web","Cross-connecting food chains in which energy flows from plants to an array of herbivores, then carnivores.  Energy captured by producers flows directly to consumers."
"Detrital food web","Cross-connecting food chains in which energy flows mainly from plants through arrays of detritivores and decomposers.  Energy captured by producers flows directly to detritivores and decomposers."
"Biological magnification","Ever increasing concentration of a slowly degradable or non-degradable substance in body tissues as it is passed along food chains.  Some chemical substance is pased from organisms at one trophic level to those above and becomes increasingly concentrated in body tissues. : DDT."
"Primary productivity","The rate at which an ecosystem's primary producers secure and store energy in tissues in a given interval.  Varies with climate, season, nutrient availability, and other factors."
"Net ecosystem production","All the energy the primary producers have accumulated during growth, reproduction in a specified interval (net primary production), minus energy that producers, and decomposers, have used."
"Biomass pyramid","Of an ecosystem, the combined weight of all organisms at a trophic level."
"Energy pyramid","Diagram that depicts the energy stored in the tissues of organisms at each trophic level in an ecosystem. Lowest tier of the pyramid, consisting of primary producers, is always the largest.  Ecologists construct energy pyramids and biomass pyramids to show how energy and organic compounds are distributed in an ecosystem.  Energy pyramid is largest at their base. The lowest trophic level has the greatest proportion of the energy in an ecosystem."
"BIogeochemical cycle","Slow movement of an element from environmental reservoirs, through food webs, then back.  Water or nutrient moves through the environment, then through organisms, then back to an environmental reservoir."
"Nutrients","Any element having a direct or indirect role in metabolism that no other element can fulfill."
"Hydrologic cycle","Biogeochemical cycle driven by solar energy; water moves through atmosphere, on or through land, to the ocean, and back to the atmosphere.  Water moves from the ocean into the atmosphere, to land, and back to the ocean-- the main reservoir. Human actions are disrupting the cycle in ways that result in shortages and pollution of water."
"Watershed","A region of any specified size in which all precipitation drains into one stream or river.  Plants absorb water from soil and groundwater stores."
"Groundwater","Water in soil and aquifers.  Water moves from the ocean to the atmosphere, and back."
"Desalinization","Removal of salt from water."
"Carbon cycle","Atmospheric cycle. Carbon moves from its environmental reservoirs (sediments, rocks, the ocean) through the atmosphere (mostly as CO2), food webs, and back to the reservoirs.  Moves carbon from its main reservoirs in rocks and seawater, through its gaseous from (carbon dioxide) in the atmosphere, and then through ecosystems. Deforestation and the burning of wood and fossil fuels are adding more carbon dioxide to the atmosphere than the oceans can absorb."
