"Hydrogen","Most abundant of chemical elements"
"Helium","Lowest boiling point"
"Lithium","Lightest metal"
"Beryllium","Mixed with copper for a strong alloy"
"Boron","Popular for making fiberglass"
"Carbon","The composition of diamonds"
"Nitrogen","Makes up most of our air"
"Oxygen","What animals breathe"
"Flourine","Most reactive element"
"Neon","Used in decorative signs"
"Sodium","Common in salt"
"Magnesium","Common in fireworks and flash bulbs"
"Aluminum","Made from bauxite ore"
"Silicon","Common in semiconductor technology"
"Phosphorus","Used by magicians"
"Sulfur","Yellow crystals melt red and burn blue"
"Chlorine","Cleans pools"
"Argon","Used in welding"
"Potassium","Lithium only lighter metal"
"Calcium","Contrubutes to bone strength"
"Scandium","Before discovery called ekaboron"
"Titanium","Refined through Kroll process"
"Vanadium","Used in surgical steel"
"Chromium","Makes rubies red"
"Manganese","Used by glassmakers for clarity"
"Iron","Makes Mars red"
"Cobalt","Makes glass blue"
"Nickel","Chinese called it White Copper"
"Copper","Popular heat and electrical conductor"
"Zinc","Known to ancients as spelter"
"Gallium","Melts in hand"
"Germanium","Common semiconductor in transistors"
"Arsenic","Notorious poison"
"Selenium","Replaced lead in brass"
"Bromine","Only room-temperature liquid nonmetal"
"Krypton","Once used to define Meter"
"Rubidium","Makes fireworks purple"
"Strontium","Prevents X-rays from TV"
"Yttrium","Lets TV's make red"
"Zirconium","A diamond substitute"
"Niobium","Allows thinner corrective lenses"
"Molybdenum","Is lead-like"
"Technetium","light, radioactive metal"
"Ruthenium","Makes platinum and titanium super strong"
"Rhodium","Means Rose"
"Palladium","In first Tuberculosis treatment"
"Silver","Argentum"
"Cadmium","Most used in batteries"
"Indium","Plates high quality mirrors"
"Tin","Babbit and pewter are alloys"
"Antimony","Stibium"
"Tellurium","A rare chalcogen"
"Iodine","Antiseptic"
"Xenon","Reusable flash bulbs use this"
"Cesium","Gives time to atomic clocks"
"Barium","Greek name means heavy"
"Lanthanum","Safer than Thorium for Tungsten welding"
"Hafnium","Used in nuclear control rods"
"Tantalum","Safe in surgical components"
"Tungsten","Wolfram"
"Rhenium","Needed for lead-free, high octane gasoline"
"Osmium","Highest density"
"Iridium","Not used in ball-point pens"
"Platinum","Often mandatory in catalytic converters"
"Gold","Most ductile and malleable"
"Mercury","Hudragurum"
"Thallium","60"
"Lead","Small pieces float in water"
"Bismuth","60"
"Polonium","70"
"Astatine","70"
"Radon","70"
"Francium","70"
"Radium","70"
"Actinium","70"
"Rutherfordium","70"
"Dubnium","70"
"Seaborgium","70"
"Bohrium","70"
"Hassium","80"
"Meitnerium","80"
"Cerium","80"
"Praseodymium","80"
"Neodymium","80"
"Promethium","80"
"Samarium","80"
"Europium","80"
"Gadolinium","80"
"Terbium","80"
"Dysprosium","90"
"Holmium","90"
"Erbium","90"
"Thulium","90"
"Ytterbium","90"
"Lutetium","90"
"Thorium","90"
"Protactinium","90"
"Uranium","90"
"Neptunium","90"
"Plutonium","100"
"Americium","100"
"Curium","100"
"Berkelium","100"
"Californium","100"
"Einsteinium","100"
"Fermium","100"
"Mendelevium","100"
"Nobelium","100"
"Lawrencium","100"
